# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
14-3-3zeta	FBgn0004907	FBtr0088418	protein_coding	0	5	0	183	11	0	1	59	0	71	0	0	0	0	1	0	0	0	0	4	42
14-3-3zeta	FBgn0004907	FBtr0088419	protein_coding	0	1	0	170	11	0	2	59	0	63	0	0	0	0	0	0	0	0	0	1	35
14-3-3zeta	FBgn0004907	FBtr0100182	protein_coding	0	5	0	142	0	0	2	46	0	60	0	0	0	0	1	0	0	0	0	4	35
14-3-3zeta	FBgn0004907	FBtr0100183	protein_coding	0	3	0	149	5	0	2	46	0	61	0	0	0	0	1	0	0	0	0	3	35
14-3-3zeta	FBgn0004907	FBtr0332916	protein_coding	0	3	0	151	11	0	2	59	0	38	0	0	0	0	1	0	0	0	0	3	41
14-3-3zeta	FBgn0004907	FBtr0332917	protein_coding	0	3	0	129	5	0	1	46	0	23	0	0	0	0	1	0	0	0	0	3	54
140up	FBgn0010340	FBtr0082909	protein_coding	0	9	2	199	2	0	1	97	0	4	2	0	0	0	2	0	0	0	0	7	96
140up	FBgn0010340	FBtr0337095	protein_coding	0	8	2	200	8	0	1	92	0	4	2	0	0	0	1	0	0	0	0	7	96
18SrRNA-Psi:CR41602	FBgn0085813	FBtr0346892	pseudogene	0	0	0	23	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	11
18SrRNA-Psi:CR45861	FBgn0267521	FBtr0346900	pseudogene	0	1	0	21	0	0	0	10	0	0	0	8	0	0	1	0	0	0	0	0	4
18w	FBgn0004364	FBtr0086309	protein_coding	0	76	2	169	6	0	4	89	0	0	2	0	0	0	0	0	0	0	0	76	70
26-29-p	FBgn0250848	FBtr0075766	protein_coding	0	18	1	181	3	0	5	84	0	12	1	0	0	0	1	0	0	0	0	17	78
28SrRNA-Psi:CR45853	FBgn0267513	FBtr0346888	pseudogene	0	0	0	17	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	3
28SrRNA-Psi:CR45855	FBgn0267515	FBtr0346891	pseudogene	0	0	0	25	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	14
28SrRNA-Psi:CR45859	FBgn0267519	FBtr0346895	pseudogene	0	0	0	12	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	7
28SrRNA-Psi:CR45862	FBgn0267522	FBtr0346902	pseudogene	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
2SrRNA-Psi:CR40677	FBgn0085765	FBtr0346890	pseudogene	0	0	0	27	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	13
2SrRNA-Psi:CR45858	FBgn0267518	FBtr0346894	pseudogene	0	0	0	12	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	2
2SrRNA:CR45864	FBgn0267524	FBtr0346898	rRNA	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
2mit	FBgn0260793	FBtr0301436	protein_coding	0	22	14	583	59	0	12	86	0	310	14	0	0	0	1	0	0	0	0	21	117
2mit	FBgn0260793	FBtr0330143	protein_coding	0	22	14	583	59	0	12	86	0	310	14	0	0	0	1	0	0	0	0	21	117
2mit	FBgn0260793	FBtr0344729	protein_coding	0	21	14	182	8	0	0	64	0	44	14	0	0	0	0	0	0	0	0	21	66
2mit	FBgn0260793	FBtr0344730	protein_coding	0	21	14	213	34	0	0	69	0	44	14	0	0	0	0	0	0	0	0	21	66
4EHP	FBgn0053100	FBtr0084587	protein_coding	0	3	0	1085	9	0	2	95	0	901	0	0	0	0	0	0	0	0	0	3	78
4EHP	FBgn0053100	FBtr0300475	protein_coding	0	4	2	995	18	0	2	43	0	855	2	0	0	0	1	0	0	0	0	3	78
4EHP	FBgn0053100	FBtr0303159	protein_coding	0	4	2	1056	23	0	2	91	0	862	2	0	0	0	0	0	0	0	0	4	78
4EHP	FBgn0053100	FBtr0303160	protein_coding	0	4	1	1077	2	0	2	98	0	897	1	0	0	0	0	0	0	0	0	4	78
5-HT1A	FBgn0004168	FBtr0086577	protein_coding	0	26	14	1209	11	0	12	122	0	977	14	0	0	0	3	0	0	0	0	24	89
5-HT1B	FBgn0263116	FBtr0086599	protein_coding	0	22	6	351	6	1	8	94	0	126	6	0	0	0	2	0	0	0	0	19	119
5-HT1B	FBgn0263116	FBtr0330055	protein_coding	0	19	6	383	16	1	8	113	0	129	6	0	0	0	2	0	0	0	0	16	119
5-HT1B	FBgn0263116	FBtr0330056	protein_coding	0	22	6	380	16	1	8	113	0	126	6	0	0	0	2	0	0	0	0	19	119
5-HT2A	FBgn0087012	FBtr0078854	protein_coding	0	9	2	77	0	0	0	4	0	74	2	0	0	0	2	0	0	0	0	7	1
5-HT2A	FBgn0087012	FBtr0078855	protein_coding	0	9	2	77	0	0	0	4	0	74	2	0	0	0	2	0	0	0	0	7	1
5-HT2A	FBgn0087012	FBtr0300474	protein_coding	0	9	2	73	2	0	0	4	0	68	2	0	0	0	2	0	0	0	0	7	1
5-HT2A	FBgn0087012	FBtr0339395	protein_coding	0	9	2	66	0	0	2	4	0	40	2	0	0	0	2	0	0	0	0	7	22
5-HT2A	FBgn0087012	FBtr0339397	protein_coding	0	9	2	77	0	0	0	4	0	74	2	0	0	0	2	0	0	0	0	7	1
5-HT2B	FBgn0261929	FBtr0303603	protein_coding	0	20	5	574	5	2	8	63	0	452	5	0	0	0	1	0	0	0	0	17	47
5-HT2B	FBgn0261929	FBtr0330144	protein_coding	0	21	6	572	3	2	8	63	0	452	6	0	0	0	1	0	0	0	0	18	47
5-HT2B	FBgn0261929	FBtr0339322	protein_coding	0	20	5	599	36	2	8	57	0	452	5	0	0	0	1	0	0	0	0	17	47
5-HT7	FBgn0004573	FBtr0085746	protein_coding	0	37	3	1537	20	1	13	104	0	1244	3	0	0	0	0	0	0	0	0	36	156
5-HT7	FBgn0004573	FBtr0334508	protein_coding	0	37	3	1562	29	1	19	120	0	1238	3	0	0	0	0	0	0	0	0	36	156
5.8SrRNA-Psi:CR45854	FBgn0267514	FBtr0346889	pseudogene	0	0	0	27	0	0	0	15	0	0	0	2	0	0	0	0	0	0	0	0	10
5.8SrRNA-Psi:CR45857	FBgn0267517	FBtr0346893	pseudogene	0	0	0	12	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	0	0
5.8SrRNA-Psi:CR45863	FBgn0267523	FBtr0346897	pseudogene	0	0	0	7	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	2
5.8SrRNA:CR40454	FBgn0250731	FBtr0346901	rRNA	0	0	0	22	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	18
5PtaseI	FBgn0259178	FBtr0299660	protein_coding	0	8	5	193	8	0	0	69	0	42	5	0	0	0	2	0	0	0	0	7	75
5PtaseI	FBgn0259178	FBtr0299661	protein_coding	0	13	8	183	7	0	0	76	0	26	8	0	0	0	1	0	0	0	0	12	75
5PtaseI	FBgn0259178	FBtr0299662	protein_coding	0	17	12	177	1	0	0	69	0	33	12	0	0	0	2	0	0	0	0	16	75
5SrRNA-Psi:CR33356	FBgn0053356	FBtr0086348	pseudogene	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
5SrRNA-Psi:CR33363	FBgn0053363	FBtr0086355	pseudogene	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
5SrRNA:CR33353	FBgn0053353	FBtr0086345	rRNA	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
5SrRNA:CR33354	FBgn0053354	FBtr0086346	rRNA	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
5SrRNA:CR33355	FBgn0053355	FBtr0086347	rRNA	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
5SrRNA:CR33357	FBgn0053357	FBtr0086349	rRNA	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
5SrRNA:CR33358	FBgn0053358	FBtr0086350	rRNA	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
5SrRNA:CR33359	FBgn0053359	FBtr0086351	rRNA	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
5SrRNA:CR33360	FBgn0053360	FBtr0086352	rRNA	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
5SrRNA:CR33361	FBgn0053361	FBtr0086353	rRNA	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
5SrRNA:CR33362	FBgn0053362	FBtr0086354	rRNA	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
5SrRNA:CR33364	FBgn0053364	FBtr0086356	rRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
5SrRNA:CR33365	FBgn0053365	FBtr0086357	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5SrRNA:CR33440	FBgn0053440	FBtr0086432	rRNA	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33441	FBgn0053441	FBtr0086433	rRNA	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33442	FBgn0053442	FBtr0086434	rRNA	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33443	FBgn0053443	FBtr0086435	rRNA	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33444	FBgn0053444	FBtr0086436	rRNA	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33445	FBgn0053445	FBtr0086437	rRNA	0	0	0	15	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33446	FBgn0053446	FBtr0086438	rRNA	0	0	0	18	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33447	FBgn0053447	FBtr0086439	rRNA	0	0	0	20	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33448	FBgn0053448	FBtr0086440	rRNA	0	0	0	23	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33449	FBgn0053449	FBtr0086441	rRNA	0	0	0	24	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33450	FBgn0053450	FBtr0086442	rRNA	0	0	0	26	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33451	FBgn0053451	FBtr0086443	rRNA	0	0	0	26	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33452	FBgn0053452	FBtr0086444	rRNA	0	0	0	27	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0
7B2	FBgn0041707	FBtr0078789	protein_coding	0	3	0	46	2	0	0	22	0	0	0	0	0	0	0	0	0	0	0	3	22
7B2	FBgn0041707	FBtr0301640	protein_coding	0	3	0	46	2	0	0	22	0	0	0	0	0	0	0	0	0	0	0	3	22
7SLRNA:CR32864	FBgn0000003	FBtr0081624	lincRNA	0	0	0	118	0	0	0	63	0	0	0	3	0	0	0	0	0	0	0	0	52
7SLRNA:CR42652	FBgn0261504	FBtr0302398	lincRNA	0	0	0	100	0	0	0	55	0	0	0	1	0	0	0	0	0	0	0	0	44
825-Oak	FBgn0052208	FBtr0273406	protein_coding	0	0	2	80	1	0	1	35	0	0	2	0	0	0	0	0	0	0	0	0	43
A16	FBgn0028965	FBtr0080427	protein_coding	0	7	3	146	0	1	2	54	0	5	3	0	0	0	0	0	0	0	0	6	85
A2bp1	FBgn0052062	FBtr0113418	protein_coding	0	20	8	1758	1	0	2	83	0	1531	8	0	0	0	5	0	0	0	0	17	144
A2bp1	FBgn0052062	FBtr0113419	protein_coding	0	19	8	1760	5	0	2	83	0	1529	8	0	0	0	5	0	0	0	0	15	144
A2bp1	FBgn0052062	FBtr0305093	protein_coding	0	22	8	2536	12	2	19	125	0	2250	8	0	0	0	5	0	0	0	0	17	133
A2bp1	FBgn0052062	FBtr0305094	protein_coding	0	19	7	1758	1	0	2	81	0	1533	7	0	0	0	5	0	0	0	0	16	144
A2bp1	FBgn0052062	FBtr0305095	protein_coding	0	19	8	1819	19	0	2	125	0	1532	8	0	0	0	5	0	0	0	0	16	144
A2bp1	FBgn0052062	FBtr0305096	protein_coding	0	19	8	1812	12	0	2	125	0	1532	8	0	0	0	5	0	0	0	0	16	144
A2bp1	FBgn0052062	FBtr0305097	protein_coding	0	21	8	2484	1	2	19	83	0	2251	8	0	0	0	5	0	0	0	0	16	133
A2bp1	FBgn0052062	FBtr0332985	protein_coding	0	16	2	1828	19	0	2	125	0	1541	2	0	0	0	5	0	0	0	0	13	144
AANATL2	FBgn0031791	FBtr0079243	protein_coding	0	15	6	294	9	0	2	125	0	0	6	0	0	0	0	0	0	0	0	15	158
AANATL2	FBgn0031791	FBtr0340167	protein_coding	0	15	6	297	14	0	2	123	0	0	6	0	0	0	0	0	0	0	0	15	158
ABCB7	FBgn0035244	FBtr0072754	protein_coding	0	59	10	388	11	1	1	122	0	74	10	0	0	0	0	0	0	0	0	58	180
ABCB7	FBgn0035244	FBtr0072755	protein_coding	0	59	10	386	3	1	1	128	0	74	10	0	0	0	0	0	0	0	0	58	180
ACC	FBgn0033246	FBtr0088871	protein_coding	0	50	15	163	0	0	0	34	0	79	15	0	0	0	3	0	0	0	0	48	52
ACC	FBgn0033246	FBtr0088872	protein_coding	0	49	11	168	0	0	1	34	0	83	11	0	0	0	3	0	0	0	0	47	52
ACC	FBgn0033246	FBtr0113053	protein_coding	1	49	11	167	0	0	1	34	0	83	11	0	0	1	3	0	0	0	0	47	52
ACC	FBgn0033246	FBtr0339123	protein_coding	0	51	9	137	0	0	3	34	0	33	9	0	0	0	3	0	0	0	0	49	69
ACC	FBgn0033246	FBtr0339124	protein_coding	0	49	11	199	0	0	1	34	0	105	11	0	0	0	3	0	0	0	0	47	61
ACC	FBgn0033246	FBtr0339125	protein_coding	0	50	11	225	0	1	5	34	0	125	11	0	0	0	3	0	0	0	0	47	63
ACXA	FBgn0040510	FBtr0080415	protein_coding	0	47	8	236	4	0	0	129	0	27	8	0	0	0	1	0	0	0	1	45	77
ACXA	FBgn0040510	FBtr0305490	protein_coding	0	47	8	236	4	0	0	129	0	27	8	0	0	0	1	0	0	0	1	45	77
ACXA	FBgn0040510	FBtr0305491	protein_coding	0	13	5	273	41	0	0	129	0	27	5	0	0	0	1	0	0	0	0	12	77
ACXA	FBgn0040510	FBtr0333225	protein_coding	0	35	6	250	19	0	0	129	0	26	6	0	0	0	2	0	0	0	0	34	77
ACXA	FBgn0040510	FBtr0344132	protein_coding	0	14	3	275	43	0	0	129	0	27	3	0	0	0	2	0	0	0	0	12	77
ACXB	FBgn0040509	FBtr0080414	protein_coding	0	35	10	224	2	1	1	109	0	26	10	0	0	0	6	0	0	0	0	30	90
ACXC	FBgn0040508	FBtr0080413	protein_coding	0	40	6	221	0	0	1	87	0	36	6	0	0	0	7	0	0	0	0	33	104
ACXC	FBgn0040508	FBtr0100494	protein_coding	0	19	4	244	24	0	1	87	0	35	4	0	0	0	7	0	0	0	0	12	104
ACXD	FBgn0040507	FBtr0072874	protein_coding	0	54	2	237	0	0	5	83	0	57	2	0	0	0	5	0	0	0	0	50	96
ACXD	FBgn0040507	FBtr0332662	protein_coding	0	28	1	264	27	0	5	83	0	57	1	0	0	0	5	0	0	0	0	24	96
ACXE	FBgn0040506	FBtr0310556	protein_coding	1	64	7	199	1	0	0	68	0	34	7	0	0	0	6	0	1	0	0	61	99
ADD1	FBgn0026573	FBtr0088041	protein_coding	0	23	7	142	1	0	4	72	0	8	7	0	0	0	0	0	0	0	0	23	57
ADD1	FBgn0026573	FBtr0088042	protein_coding	0	22	9	191	13	0	4	97	0	20	9	0	0	0	1	0	0	0	0	21	57
ADD1	FBgn0026573	FBtr0346629	protein_coding	0	21	5	146	1	0	4	72	0	12	5	0	0	0	0	0	0	0	0	21	57
AGBE	FBgn0053138	FBtr0087732	protein_coding	0	35	6	262	5	0	7	86	0	26	6	0	0	0	2	0	0	0	0	33	139
AGO1	FBgn0262739	FBtr0087612	protein_coding	0	45	1	330	32	0	5	96	0	119	1	0	0	0	3	0	0	0	0	42	81
AGO1	FBgn0262739	FBtr0087613	protein_coding	0	45	1	232	4	0	3	69	0	88	1	0	0	0	3	0	0	0	0	42	71
AGO1	FBgn0262739	FBtr0087614	protein_coding	0	44	1	228	19	0	1	77	0	61	1	0	0	0	3	0	0	0	0	41	73
AGO1	FBgn0262739	FBtr0305592	protein_coding	0	45	1	345	41	0	5	102	0	119	1	0	0	0	3	0	0	0	0	42	81
AGO2	FBgn0087035	FBtr0075559	protein_coding	0	7	7	61	2	0	0	30	0	5	7	0	0	0	1	0	0	0	0	7	24
AGO2	FBgn0087035	FBtr0075560	protein_coding	0	7	7	61	2	0	0	30	0	5	7	0	0	0	1	0	0	0	0	7	24
AGO2	FBgn0087035	FBtr0331933	protein_coding	0	8	4	42	2	1	3	30	0	1	4	0	0	0	0	0	0	0	0	7	6
AGO3	FBgn0250816	FBtr0299880	protein_coding	0	3	5	141	1	0	0	14	0	114	5	0	0	0	0	0	0	0	0	3	12
AGO3	FBgn0250816	FBtr0299881	protein_coding	0	4	5	141	1	1	2	14	0	119	5	0	0	0	0	0	0	0	0	3	5
AGO3	FBgn0250816	FBtr0299882	protein_coding	0	3	5	141	1	0	0	14	0	121	5	0	0	0	0	0	0	0	0	3	5
AGO3	FBgn0250816	FBtr0301725	protein_coding	0	3	5	100	0	0	0	9	0	79	5	0	0	0	0	0	0	0	0	3	12
AIF	FBgn0031392	FBtr0077830	protein_coding	0	11	2	182	8	1	1	65	0	16	2	0	0	0	2	0	0	0	0	8	94
AIF	FBgn0031392	FBtr0077831	protein_coding	0	11	5	175	3	1	1	66	0	13	5	0	0	0	2	0	0	0	0	8	94
AIF	FBgn0031392	FBtr0330657	protein_coding	0	11	5	179	8	1	1	65	0	13	5	0	0	0	2	0	0	0	0	8	94
ALiX	FBgn0086346	FBtr0085241	protein_coding	0	35	11	300	11	0	5	161	0	24	11	0	0	0	2	0	0	0	0	33	101
AMPKalpha	FBgn0023169	FBtr0070216	protein_coding	0	4	0	30	4	0	0	14	0	6	0	0	0	0	0	0	0	0	0	4	6
AMPKalpha	FBgn0023169	FBtr0070217	protein_coding	0	4	0	31	5	0	1	14	0	5	0	0	0	0	0	0	0	0	0	4	6
AMPKalpha	FBgn0023169	FBtr0070218	protein_coding	0	4	0	31	5	0	0	14	0	6	0	0	0	0	0	0	0	0	0	4	6
AMPdeam	FBgn0052626	FBtr0073833	protein_coding	0	23	0	145	0	2	4	40	0	45	0	0	0	0	1	0	0	0	0	20	57
AMPdeam	FBgn0052626	FBtr0301044	protein_coding	0	20	2	228	0	0	4	40	0	164	2	0	0	0	1	0	0	0	0	19	21
AMPdeam	FBgn0052626	FBtr0301045	protein_coding	0	20	0	201	0	1	7	40	0	80	0	0	0	0	1	0	0	0	0	18	75
AMPdeam	FBgn0052626	FBtr0301046	protein_coding	0	21	2	170	0	0	1	40	0	58	2	0	0	0	1	0	0	0	0	20	72
AMPdeam	FBgn0052626	FBtr0303292	protein_coding	0	21	2	170	0	0	1	40	0	58	2	0	0	0	1	0	0	0	0	20	72
AMPdeam	FBgn0052626	FBtr0309245	protein_coding	0	5	8	237	42	0	4	40	0	131	8	0	0	0	1	0	0	0	0	4	21
AMPdeam	FBgn0052626	FBtr0309246	protein_coding	0	21	2	170	0	0	1	40	0	58	2	0	0	0	1	0	0	0	0	20	72
AMPdeam	FBgn0052626	FBtr0340444	protein_coding	0	22	3	195	0	0	1	40	0	80	3	0	0	0	1	0	0	0	0	21	75
AMPdeam	FBgn0052626	FBtr0340445	protein_coding	0	21	2	170	0	0	1	40	0	58	2	0	0	0	1	0	0	0	0	20	72
AOX1	FBgn0267408	FBtr0083154	protein_coding	0	38	15	207	2	1	4	72	0	18	15	0	0	0	2	0	0	0	0	35	113
AOX2	FBgn0038348	FBtr0345258	protein_coding	0	61	27	199	0	0	0	82	0	17	27	0	0	0	1	0	0	0	0	60	101
AOX3	FBgn0038349	FBtr0083151	protein_coding	0	45	26	260	7	2	5	120	0	9	26	0	0	0	0	0	0	0	0	43	119
AOX4	FBgn0038350	FBtr0083150	protein_coding	0	58	27	197	0	0	0	102	0	8	27	0	0	0	5	0	0	0	1	55	89
AP-1-2beta	FBgn0010380	FBtr0074789	protein_coding	0	22	0	159	1	0	0	90	0	10	0	0	0	0	0	0	0	0	0	22	58
AP-1gamma	FBgn0030089	FBtr0071294	protein_coding	0	36	1	216	2	0	1	71	0	75	1	0	0	0	6	0	0	0	0	30	73
AP-1gamma	FBgn0030089	FBtr0071295	protein_coding	0	37	1	189	2	1	2	71	0	60	1	0	0	0	6	0	0	0	0	30	60
AP-1gamma	FBgn0030089	FBtr0071296	protein_coding	0	36	1	216	2	0	1	71	0	75	1	0	0	0	6	0	0	0	0	30	73
AP-1gamma	FBgn0030089	FBtr0071297	protein_coding	0	37	1	189	2	1	2	71	0	60	1	0	0	0	6	0	0	0	0	30	60
AP-1gamma	FBgn0030089	FBtr0071298	protein_coding	0	37	1	189	2	1	2	71	0	60	1	0	0	0	6	0	0	0	0	30	60
AP-1gamma	FBgn0030089	FBtr0112965	protein_coding	0	37	1	189	2	1	4	71	0	58	1	0	0	0	6	0	0	0	0	30	60
AP-1gamma	FBgn0030089	FBtr0309254	protein_coding	0	36	1	177	2	0	2	71	0	52	1	0	0	0	6	0	0	0	0	30	56
AP-1gamma	FBgn0030089	FBtr0309255	protein_coding	0	37	1	190	2	1	4	72	0	58	1	0	0	0	6	0	0	0	0	30	60
AP-1gamma	FBgn0030089	FBtr0333808	protein_coding	0	39	1	189	2	2	4	71	0	58	1	0	0	0	7	0	0	0	0	30	60
AP-1mu	FBgn0024833	FBtr0082114	protein_coding	0	8	1	82	0	0	8	30	0	1	1	0	0	0	0	0	0	0	0	8	43
AP-1sigma	FBgn0039132	FBtr0084496	protein_coding	0	2	0	194	7	0	2	49	0	31	0	0	0	0	1	0	0	0	0	1	106
AP-1sigma	FBgn0039132	FBtr0305039	protein_coding	0	2	0	180	8	0	2	47	0	18	0	0	0	0	1	0	0	0	0	1	106
AP-1sigma	FBgn0039132	FBtr0305040	protein_coding	0	2	0	178	1	0	2	52	0	18	0	0	0	0	1	0	0	0	0	1	106
AP-1sigma	FBgn0039132	FBtr0335244	protein_coding	0	2	0	173	1	0	2	51	0	14	0	0	0	0	1	0	0	0	0	1	106
AP-2alpha	FBgn0264855	FBtr0089488	protein_coding	0	23	0	159	13	0	5	70	0	24	0	0	0	0	1	0	0	0	0	22	48
AP-2alpha	FBgn0264855	FBtr0089489	protein_coding	0	22	0	110	4	0	0	54	0	6	0	0	0	0	1	0	0	0	0	21	47
AP-2mu	FBgn0263351	FBtr0084252	protein_coding	0	18	0	170	8	0	2	92	0	4	0	0	0	0	0	0	0	0	0	18	64
AP-2mu	FBgn0263351	FBtr0084253	protein_coding	0	18	0	170	8	0	2	92	0	4	0	0	0	0	0	0	0	0	0	18	64
AP-2mu	FBgn0263351	FBtr0301866	protein_coding	0	18	0	170	6	0	2	92	0	6	0	0	0	0	0	0	0	0	0	18	64
AP-2sigma	FBgn0043012	FBtr0084103	protein_coding	0	3	0	157	3	0	1	97	0	4	0	0	0	0	0	0	0	0	0	3	52
APC10	FBgn0034231	FBtr0086951	protein_coding	0	8	0	169	0	0	0	82	0	2	0	0	0	0	1	0	0	0	0	7	86
APC4	FBgn0052707	FBtr0071285	protein_coding	0	11	2	95	0	0	1	23	0	6	2	0	0	0	1	0	0	0	0	11	65
APC4	FBgn0052707	FBtr0309872	protein_coding	0	11	2	95	0	0	1	23	0	6	2	0	0	0	1	0	0	0	0	11	65
APC7	FBgn0029879	FBtr0070946	protein_coding	1	40	9	171	8	0	0	76	0	22	9	0	0	0	3	1	0	0	0	37	68
APC7	FBgn0029879	FBtr0070947	protein_coding	0	36	9	178	8	2	9	76	0	17	9	0	0	0	3	0	0	0	0	31	71
APP-BP1	FBgn0261112	FBtr0076208	protein_coding	0	14	3	234	0	0	1	147	0	12	3	0	0	0	2	0	0	0	0	12	76
APP-BP1	FBgn0261112	FBtr0331179	protein_coding	0	14	3	230	0	0	0	147	0	12	3	0	0	0	2	0	0	0	0	12	73
AQP	FBgn0033807	FBtr0087766	protein_coding	0	23	4	308	11	0	3	119	0	22	4	0	0	0	2	0	0	0	0	21	155
AQP	FBgn0033807	FBtr0300286	protein_coding	0	22	4	316	11	0	2	119	0	36	4	0	0	0	1	0	0	0	0	21	149
